{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{0,0,0}	{0,0,0}	{0,0,0}	{0,0,0}	
{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{0,0,0}	{0,0,0}	{0,0,0}	{0,0,0}	
{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{0,0,0}	{0,0,0}	{0,0,0}	{0,0,0}	
{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{0,0,0}	{0,0,0}	{0,0,0}	{0,0,0}	
{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{0,0,0}	{0,0,0}	{0,0,0}	{0,0,0}	
{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{255,255,255}	{0,0,0}	{0,0,0}	{0,0,0}	{0,0,0}	
{0,0,63}	{0,0,127}	{0,0,191}	{0,0,255}	{215,175,0}	{0,191,0}	{0,127,0}	{0,63,0}	{81,69,52}	{100,85,64}	{119,101,76}	{138,117,88}	{85,85,85}	{135,135,135}	{150,150,150}	{255,255,255}	
{0,0,63}	{0,0,127}	{0,0,191}	{0,0,255}	{215,175,0}	{0,191,0}	{0,127,0}	{0,63,0}	{81,69,52}	{100,85,64}	{119,101,76}	{138,117,88}	{85,85,85}	{135,135,135}	{150,150,150}	{255,255,255}	
{0,0,63}	{0,0,127}	{0,0,191}	{0,0,255}	{215,175,0}	{0,191,0}	{0,127,0}	{0,63,0}	{81,69,52}	{100,85,64}	{119,101,76}	{138,117,88}	{85,85,85}	{135,135,135}	{150,150,150}	{255,255,255}	
{0,0,63}	{0,0,127}	{0,0,191}	{0,0,255}	{215,175,0}	{0,191,0}	{0,127,0}	{0,63,0}	{81,69,52}	{100,85,64}	{119,101,76}	{138,117,88}	{85,85,85}	{135,135,135}	{150,150,150}	{255,255,255}	
{0,0,63}	{0,0,127}	{0,0,191}	{0,0,255}	{215,175,0}	{0,191,0}	{0,127,0}	{0,63,0}	{81,69,52}	{100,85,64}	{119,101,76}	{138,117,88}	{85,85,85}	{135,135,135}	{150,150,150}	{255,255,255}	
{0,0,63}	{0,0,127}	{0,0,191}	{0,0,255}	{215,175,0}	{0,191,0}	{0,127,0}	{0,63,0}	{81,69,52}	{100,85,64}	{119,101,76}	{138,117,88}	{85,85,85}	{135,135,135}	{150,150,150}	{255,255,255}	
